adduser 3.118
adwaita-icon-theme 3.30.1-1
alsa-utils 1.1.8-2
apt 1.8.2
apt-listchanges 3.19
apt-utils 1.8.2
aptitude 0.8.11-7
aptitude-common 0.8.11-7
avahi-daemon 0.7-4+b1
base-files 10.3+rpi1+deb10u3
base-passwd 3.5.46
bash 5.0-4
bash-completion 1:2.8-6
bc 1.07.1-2
bind9-host 1:9.11.5.P4+dfsg-5.1
binutils 2.31.1-16+rpi1
binutils-arm-linux-gnueabihf 2.31.1-16+rpi1
binutils-common:armhf 2.31.1-16+rpi1
bison 2:3.3.2.dfsg-1
bluez 5.50-1+rpt1
bluez-firmware 1.2-4+rpt2
bsdmainutils 11.1.2
bsdutils 1:2.33.1-0.1
build-essential 12.6
busybox 1:1.30.1-4
bzip2 1.0.6-9.2~deb10u1
ca-certificates 20190110
cifs-utils 2:6.8-2
console-setup 1.193~deb10u1
console-setup-linux 1.193~deb10u1
coreutils 8.30-3
cpio 2.12+dfsg-9
cpp 4:8.3.0-1+rpi2
cpp-8 8.3.0-6+rpi1
crda 3.18-1
cron 3.0pl1-134+deb10u1
curl 7.64.0-4
dash 0.5.10.2-5
dbus 1.12.16-1
dc 1.07.1-2
debconf 1.5.71
debconf-i18n 1.5.71
debconf-utils 1.5.71
debianutils 4.8.6.1
device-tree-compiler 1.4.7-3+rpt1
dhcpcd5 1:8.1.2-1+rpt1
diffutils 1:3.7-3
dirmngr 2.2.12-1+rpi1+deb10u1
distro-info-data 0.41+deb10u1
dmidecode 3.2-1
dmsetup 2:1.02.155-3
dnsutils 1:9.11.5.P4+dfsg-5.1
dosfstools 4.1-2
dphys-swapfile 20100506-5
dpkg 1.19.7
dpkg-dev 1.19.7
e2fsprogs 1.44.5-1+deb10u3
ed 1.15-1
ethtool 1:4.19-1
fake-hwclock 0.11+rpt1
fakeroot 1.23-1
fbset 2.1-30
fdisk 2.33.1-0.1
file 1:5.35-4+deb10u1
findutils 4.6.0+git+20190209-2
firmware-atheros 1:20190114-1+rpt4
firmware-brcm80211 1:20190114-1+rpt4
firmware-libertas 1:20190114-1+rpt4
firmware-misc-nonfree 1:20190114-1+rpt4
